10 1  27.0
10 2  31.0
10 3  35.0
10 4  32.0
10 5  33.0
10 6  29.0
10 7  30.0
10 8  28.0
10 9  29.0
10 10  33.0
10 11  28.0
10 12  29.0
10 13  39.0
10 14  29.0
10 15  26.0
10 16  28.0
10 17  31.0
10 18  29.0
10 19  23.0
10 20  22.0
10 21  31.0
10 22  25.0
10 23  37.0
10 24  35.0
10 25  20.0
10 26  27.0
10 27  33.0
10 28  23.0
10 29  28.0
10 30  31.0
881.0
